Date, SB,#, Scenario Description, Pre- Condition,Expected Results, Test Step ,Test data, User Role / Profile, Tester,Result,Comments,Remarks,Screenshots
,,TC-269,To verify Offer iframe interaction.,1. User should logged in and navigate to the Affiliate: Resources page.,Users should be directed to the appropriate landing page or form for the offer.,"1. Click on dopdown icon of the Affiliate menu option.
2. Click on the ""Resources"" option.
3. Interact with the ""ENJOY 50% OFF"" iframe.",,,Shivam,,,,
Accounts: Profile,,,,,,,,,,,,,
,,TC-270,To verify Account: Profile page loads.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Clicking on the ""Profile"" option, it should open the Profile page and loaded properly.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option and verify the page loads properly.",,,Shivam,,,,
,,TC-271,To verify the profile page all the fields.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","All the fields of the page should be locked and not clickable until the ""Edit Profile"" button is clicked.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Verify the all the fields are not clickable.",,,Shivam,,,,
,,TC-272,"To verify ""Edit Profile"" button is functional.","1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Clicking on the ""Edit Profile"" button, all profile details fields should be clickable. ","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Verify the all the fields are clickable.",,,Shivam,,,,
,,TC-273,"To verify Profile Details ""First Name"" field.","1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Entering the valid input in the field, it should accept it.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Enter the first name in the field.",,,Shivam,,,,
,,TC-274,"To verify Profile Details ""First Name"" field is empty.","1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Keeping the field empty, it should show an error message: ""Please enter first name"".","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Keep the first name field empty.",,,Shivam,,,,
,,TC-275,"To verify Profile Details ""Last Name"" field.","1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Entering the valid input in the field,, it should accept it.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Enter the last name in the field.",,,Shivam,,,,
,,TC-276,"To verify Profile Details ""Last Name"" field is empty.","1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Keeping the field empty, it should show an error message: ""Please enter last name"".","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Keep the last name field empty.",,,Shivam,,,,
,,TC-277,To verify the invalid Email in the email field.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Entering the invalid email in the field, it should show an error message: ""Enter the valid email"".","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Enter the invalid email.",,,Shivam,,,,
,,TC-278,To verify the valid Email in the email field.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Entering the valid email in the field, it should accept the email and does not show an error message.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Enter the valid email.",,,Shivam,,,,
,,TC-279,To verify TimeZone dropdown.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Clicking on the TimeZone dropdown, it should open the list of continents with appropriate timezone.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Click on the ""TimeZone"" dropdown.
5. Verif the continents and their timezone are correct.",,,Shivam,,,,
,,TC-280,To verify Default Timezone.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".",Default timezone should be selected based on user's current location.,"1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Verify the default timezone is correct.",,,Shivam,,,,
,,TC-281,To verify dropdown Continent Selection.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".",Timezone for the selected continent should be displayed.,"1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Click on the ""TimeZone"" dropdown.
5. Select a continent from the dropdown list.",,,Shivam,,,,
,,TC-282,To verify Timezone Selection.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".",Selected timezone should be applied correctly.,"1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Click on the ""TimeZone"" dropdown.
5. Select a specific continent's timezone from the list.",,,Shivam,,,,
,,TC-283,To verify Empty Selection.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".",A default timezone is applied or an error message should be displayed.,"1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Leave the timezone field empty.",,,Shivam,,,,
,,TC-284,To verify Valid Country (Dropdown).,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".",Country should be selected from the dropdown list successfully.,"1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Select a valid country from the dropdown.",,,Shivam,,,,
,,TC-285,To verify Invalid Country.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Searching for non existent country name, an error message:""No results found"" should be displayed.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Attempt to select/ search an invalid country.",,,Shivam,,,,
,,TC-286,To verify Valid Address.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".",Address is accepted without errors.,"1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Enter a valid address.",,,Shivam,,,,
,,TC-288,To verify Empty Address Field.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Keepimg the Address field empty, an error message ""Enter the address"" should be displayed.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Leave the address field empty.",,,Shivam,,,,
,,TC-289,To verify Valid City.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Entering the valid City, it should be accepted without errors.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Enter a valid city name.",,,Shivam,,,,
,,TC-290,To verify Invalid City.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Entering the invalid City, an error message: ""Enter the valid city"" should be displayed.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Enter an invalid city name (non-existent city).",,,Shivam,,,,
,,TC-291,To verify Empty City Field.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Keeping the city field empty, an error message: ""Enter the city"" should be displayed.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Leave the city field empty.",,,Shivam,,,,
,,TC-292,To verify Valid State.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Entering valid State, it should be accepted/selected successfully.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Enter a valid state.",,,Shivam,,,,
,,TC-293,To verify Invalid State.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Entering invalid State, an error message: ""Enter the valid state"" should be displayed.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Enter an invalid state.",,,Shivam,,,,
,,TC-294,To verify Empty State Field.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Keeping the State field empty, an error message: ""Enter the State"" should be displayed.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Leave the state field empty.",,,Shivam,,,,
,,TC-295,To verify Valid Zip Code.,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".",Entering the valid Zip code should be accepted without errors.,"1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Enter a valid zip code.",,,Shivam,,,,
,,TC-296,To verify Invalid Zip Code,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Entering the invalid Zip code, an error message: ""Enter the valid zip code"" should be displayed.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Enter an invalid zip code (incorrect format, non-existent zip code).",,,Shivam,,,,
,,TC-297,To verify Empty Zip Code Field,"1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Keeping the Zip code field empty, an error message: ""Enter the zip code"" should be displayed.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Leave the zip code field empty.",,,Shivam,,,,
,,TC-298,"To verify ""SAVE"" button is functional.","1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","Clicking on the ""SAVE"" button, it should save the edited details.","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Enter/edit the details.
5. Click on the ""SAVE"" button.",,,Shivam,,,,
,,TC-299,"To verify ""Profile Changes Saved"" popup message.","1. User should logged in and navigate to the Accounts Profile page URL: ""https://app.nostro.co/profile "".","On successful saving of the edited details, it should display an popup message: ""Profile Changes Saved"".","1. Click on dopdown icon of the Account menu option.
2. Click on the ""Profile"" option.
3. Click on the ""Edit Profile"" button.
4. Enter/edit the details.
5. Click on the ""SAVE"" button.
6. Verify the pop up message displays.",,,Shivam,,,,
Accounts: Security,,,,,,,,,,,,,
,,TC-300,To verify Page Layout,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Page layout should be clean, organized, and easy to navigate.","1. Open the Account: Security page.
2. Check for proper alignment and readability of elements.",,,Shivam,,,,
,,TC-301,To verify Valid Password Change.,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Password should be changed successfully, success message displayed.","1. Open the Account: Security page.
2. Enter current password, new password meeting all requirements, and confirm new password.",,,Shivam,,,,
,,TC-302,To verify Invalid Current Password.,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Entering the ""Invalid Current Password"", an error message should be displayed: ""Incorrect current password.""","1. Open the Account: Security page.
2. Enter incorrect current password.",,,Shivam,,,,
,,TC-303,To verify Empty Current Password.,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Keeping the ""Current Password"" field empty, an error message should be displayed: ""Enter your current password.""","1. Open the Account: Security page. 
2. Leave current password field empty.",,,Shivam,,,,
,,TC-304,To verify Empty New Password.,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Keeping the ""Current Password"" field empty, an error message should be displayed: ""Please enter a new password.""","1. Open the Account: Security page.
2. Enter current password.
3. Leave new password field empty.",,,Shivam,,,,
,,TC-305,To verify Empty Confirm Password.,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Keeping the ""Confirm Password"" field empty, an error message should be displayed: ""Please confirm your new password.""","1. Open the Account: Security page.
2. Enter current password.
3. Enter new password.
4. Leave confirm password field empty.",,,Shivam,,,,
,,TC-306,To verify Mismatched Passwords.,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Entering the different password in the fileds, an error message should be displayed: ""Passwords do not match.""","1. Open the Account: Security page.
2. Enter current password.
3. Enter different values in new password and confirm password fields.",,,Shivam,,,,
,,TC-307,To verify Weak Password.,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Entering the weak password, an error message should be displayed with specific requirements (""Password must be at least 8 characters long"").","1. Open the Account: Security page.
2. Enter current password.
3. Enter a password that does not meet the minimum requirements.",,,Shivam,,,,
,,TC-308,"To verify ""Save Changes"" button is functional.","1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Clicking on the ""Save Changes"" button, It should change the current passwword into new password and saved in the database.","1. Open the Account: Security page.
2. Enter current password, new password meeting all requirements, and confirm new password.
3. Click on the ""Save Changes"" button.",,,Shivam,,,,
,,TC-309,"To verify ""Cancel"" button is functional.","1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Clicking on the ""Cancel"" button, it should be navigated to the ""Home- Dashboard"" page.","1. Open the Account: Security page.
2. Click on the ""Cancel"" button.",,,Shivam,,,,
,,TC-310,"To verify Identity Verification ""Learn more"" hyperlink.","1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Cicking on the ""Learn more"" hyperlink, it should be navigated to tab Nostro Help Center page in a new tab.","1. Open the Account: Security page.
2. Go to the Identity verification. 
3. Click on the ""Learn more"" hyperlink.",,,Shivam,,,,
,,TC-311,"To verify Identity Verification Status is ""VERIFIED""","1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","If the Identity Verification it completed succesfully, then the current identity verification status should be displayed as ""VERIFIED"" (in Green Color background).","1. Open the Account: Security page.
2. Go to the Identity verification. 
3. Verify the Identity Verification status.",,,Shivam,,,,
,,TC-312,To verify Completed Verifiication date display.,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","If the Identity Verification it completed succesfully, then the ""Verification Date"" should be displayed.","1. Open the Account: Security page.
2. Go to the Identity verification. 
3. Verify the Verification Complted date is displayed.",,,Shivam,,,,
,,TC-313,To verify Identity Verification Status displays Complete Verification button.,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Clicking on the ""Complete Verification"" button, it should be navigated to ""Identity Verification"" page for completing the overall verification of the user.","1. Open the Account: Security page.
2. Go to the Identity verification. 
3. Click on the ""Complete Verification"" button.",,,Shivam,,,,
,,TC-314,To verify Two-Factor Authentication Status,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Display the current two-factor authentication status for both Authenticator App and SMS (""NOT CONFIGURED"").","1. Open the Account: Security page.
2. Go to the Two-Factor Authentication. 
3. Verify the current is correct.",,,Shivam,,,,
,,TC-315,"To verify ""Configure"" Button (Authenticator App)","1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Clicking on the ""Configure"" button, it should open the iframe ""Scan QR Code"" from the Authenticator app.
(Google Authenticator, Microsoft Authenticator, Authy, or 1Password)","1. Open the Account: Security page.
2. Go to the Two-Factor Authentication.
3. Click on ""Configure"" button for Authenticator App.",,,Shivam,,,,
,,TC-316,"To verify ""Scan QR Code"" generate 6 digit code.","1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".",Scanning the QR code from an authenticator should generate the 6 digit code to enter in the field.,"1. Open the Account: Security page.
2. Go to the Two-Factor Authentication.
3. Click on ""Configure"" button for Authenticator App.
4. Click on the ""Continue"" button. 
5. Scan the QR code from the app.
6. Verify the 6 digit code is generated",,,Shivam,,,,
,,TC-317,To verify Valid 6 digit code.,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Entering the 6 digit valid code, the ""Continue"" button should be enabled.","1. Open the Account: Security page.
2. Go to the Two-Factor Authentication.
3. Click on ""Configure"" button for Authenticator App.
4. Click on the ""Continue"" button. 
5. Scan the QR code from the app.
6. Enter the valid 6 digit code.",,,Shivam,,,,
,,TC-318,To verify invalid 6 digit code.,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Entering the 6 digit invalid code, an error message: ""Please enter a valid, and current code."" should be displayed.","1. Open the Account: Security page.
2. Go to the Two-Factor Authentication.
3. Click on ""Configure"" button for Authenticator App.
4. Click on the ""Continue"" button. 
5. Scan the QR code from the app.
6. Enter the invalid 6 digit code.",,,Shivam,,,,
,,TC-319,"To verify ""BACK"" button.","1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Cicking on the ""BACK"" button, it should goto the previous iframe.","1. Open the Account: Security page.
2. Go to the Two-Factor Authentication.
3. Click on ""Configure"" button for Authenticator App.
4. Click on the ""Continue"" button. 
5. Scan the QR code from the app.
6. Click on the ""BACK"" button.",,,Shivam,,,,
,,TC-320,"To verify ""Continue"" button.","1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Cicking on the ""BACK"" button, it should goto the previous iframe.","1. Open the Account: Security page.
2. Go to the Two-Factor Authentication.
3. Click on ""Configure"" button for Authenticator App.
4. Click on the ""Continue"" button. 
5. Scan the QR code from the app.
6. Enter the valid 6 digit code.
7. Click on the ""Continue"" button and complete the process susccesfully..",,,Shivam,,,,
,,TC-321,"To verify ""Configure"" Button (SMS)","1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Clicking on the ""Configure"" button, the user should be prompted to enter their mobile number for SMS verification.","1. Open the Account: Security page.
2. Go to the Two-Factor Authentication.
3. Click on ""Configure"" button for SMS Authentication and complete the process successfully.",,,Shivam,,,,
,,TC-322,To verify Recent Devices,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".",List of recently logged-in devices should be displayed correctly.,"1. Open the Account: Security page.
2. Go to the Recent Devices.
3. View the list of recently logged-in devices are correct.",,,Shivam,,,,
,,TC-323,To verify Pagination - Next Page,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Clicking on the ""Next"" button, it should display the next page of device history.","1. Open the Account: Security page.
2. Go to the Recent Devices.
3. Click on ""Next"" pagination button.",,,Shivam,,,,
,,TC-324,To verify Pagination - Previous Page,"1. User should logged in and navigate to the Accounts: Security page URL: ""https://app.nostro.co/security "".","Clicking on the ""Previous"" button, it should display the previous page of device history.","1. Open the Account: Security page.
2. Go to the Recent Devices.
3. Click on ""Previous"" pagination button.",,,Shivam,,,,
Accounts: Billing,,,,,,,,,,,,,
,,TC-325,To verify Billing page loads properly.,"1. User should logged in and navigate to the Accounts: Billing page URL: ""https://app.nostro.co/billing "".","List of past payouts should be displayed with details (Account No., Type, Issued Date, Total, Status) .","1. Open the Account: Billing page.
2. Verify the List of past payouts is displayed.",,,Shivam,,,,
,,TC-326,To verify Page Layout.,"1. User should logged in and navigate to the Accounts: Billing page URL: ""https://app.nostro.co/billing "".","Page layout should be clean, organized, and easy to navigate.","1. Open the Account: Billing page.
2. Check for proper alignment, spacing, and readability of elements.",,,Shivam,,,,
,,TC-327,To verify Pagination - Next Page.,"1. User should logged in and navigate to the Accounts: Billing page URL: ""https://app.nostro.co/billing "".","Clicking on the ""Next"" button, it should display the next page of payouts history (if available).","1. Open the Account: Billing page.
2. Click on ""Next"" pagination button.",,,Shivam,,,,
,,TC-328,To verify Pagination - Previous Page.,"1. User should logged in and navigate to the Accounts: Billing page URL: ""https://app.nostro.co/billing "".","Clicking on the ""Previous"" button, it should display the previous page of payout history (if available).","1. Open the Account: Billing page.
2. Click on ""Previous"" pagination button.",,,Shivam,,,,
Support: Submit a Ticket,,,,,,,,,,,,,
,,,,,,,,,,,,,
Support: Help center,,,,,,,,,,,,,
,,TC-329,"To verify ""Help Center"" menu option.",1. User should logged in and navigate to the Support: Help Center page.,"Clicking on the ""Help Center"" option, it should be navigated to ""Nostro Help Center"" page in a new tab.","1. Open the Support menu option.
2. Click on the ""Help Center"" option.",,,Shivam,,,,
,,TC-330,To verify Help Center page loading.,1. User should logged in and navigate to the Support: Help Center page.,"Page Should be loaded completely and displays all elements correctly (header, search bar, categories, articles).","1. Open the Support menu option.
2. Click on the ""Help Center"" option.
3. Verify the page loads properly.",,,Shivam,,,,
,,TC-331,To verify Back to Dashboard hyperlink.,1. User should logged in and navigate to the Support: Help Center page.,"Clicking on the ""Back to Dashboard"" hyperlink, th user should be redirected to the Nostro dashboard.","1. Open the Support menu option.
2. Click on the ""Help Center"" option.
3. Click on ""Back to Dashboard"" hyperlink.",,,Shivam,,,,
,,TC-332,To verify Language Selection dropdown.,1. User should logged in and navigate to the Support: Help Center page.,"Clicking on the dropdown, available languages should be displayed, and the user should be able to select a different language.","1. Open the Support menu option.
2. Click on the ""Help Center"" option.
3. Click on ""Back to Dashboard"" hyperlink.
4. Click on the language selector dropdown.",,,Shivam,,,,
,,TC-333,To verify Search Functionality.,1. User should logged in and navigate to the Support: Help Center page.,Relevant articles matching the search query should be displayed.,"1. Open the Support menu option.
2. Click on the ""Help Center"" option.
3. Enter a search term in the search bar.",,,Shivam,,,,
,,TC-334,To verify Invalid Search Query.,1. User should logged in and navigate to the Support: Help Center page.,"Searching an invalid query, it should displays an message: ""We coudn't find any articles for: ...""","1. Open the Support menu option.
2. Click on the ""Help Center"" option.
3. Enter an invalid or irrelevant search query.",,,Shivam,,,,
,,TC-335,To verify Challenge Rules tab.,1. User should logged in and navigate to the Support: Help Center page.,"Clicking on the ""Challenge Rules"" tab, Articles related to Challenge Rules should be displayed.","1. Open the Support menu option.
2. Click on the ""Help Center"" option.
3. Click on ""Challenge Rules"" tab.",,,Shivam,,,,
,,TC-336,To verify Dashboard tab.,1. User should logged in and navigate to the Support: Help Center page.,"Clicking on the ""Dashboard"" tab, Articles related to the Nostro Dashboard should be displayed.","1. Open the Support menu option.
2. Click on the ""Help Center"" option.
3. Click on ""Dashboard"" tab.",,,Shivam,,,,
,,TC-337,To verify Security tab.,1. User should logged in and navigate to the Support: Help Center page.,"Clicking on the ""Security"" tab, Articles related to account security should be displayed.","1. Open the Support menu option.
2. Click on the ""Help Center"" option.
3. Click on ""Security"" tab.",,,Shivam,,,,
,,TC-338,To verify Account tab.,1. User should logged in and navigate to the Support: Help Center page.,"Clicking on the ""Accounts"" tab, Articles related to Nostro accounts should be displayed.","1. Open the Support menu option.
2. Click on the ""Help Center"" option.
3. Click on ""Account"" tab.",,,Shivam,,,,
,,TC-339,To verify Affiliates tab.,1. User should logged in and navigate to the Support: Help Center page.,"Clicking on the ""Affiliates"" tab, Articles related to the affiliate program shouold be displayed.","1. Open the Support menu option.
2. Click on the ""Help Center"" option.
3. Click on ""Affiliates"" tab.",,,Shivam,,,,
,,TC-340,To verify F.A.Q.'s tab.,1. User should logged in and navigate to the Support: Help Center page.,"Clicking on the ""FAQ's"" tab, Frequently asked questions and their answers should be displayed.","1. Open the Support menu option.
2. Click on the ""Help Center"" option.
3. Click on ""F.A.Q.'s"" tab.",,,Shivam,,,,
,,TC-341,"To verify ""Get Funded For Free"" button.",1. User should logged in and navigate to the Support: Help Center page.,"Clicking on the ""Get Funded For Free"" button, the user is redirected to ""New Challenge"" page.","1. Open the Support menu option.
2. Click on the ""Help Center"" option.
3. Click on ""Get Funded For Free"" button.",,,Shivam,,,,
Support: FAQ,,,,,,,,,,,,,
,,TC-342,To verify FAQ menu option.,1. User should logged in and navigate to the Support: FAQ page.,"Clicking on the ""FAQ's"" tab, Frequently asked questions and their answers should be displayed.","1. Open the Support menu option.
2. Click on ""F.A.Q.'s"" tab.",,,Shivam,,,,
